"","date","country","unemp_rate"
"602",2017-01-01,"bosnia_and_herzegovina",NA
"603",2017-01-01,"montenegro",16.1
"604",2017-01-01,"north_macedonia",22.4
"605",2017-01-01,"serbia",14.6
"606",2017-01-01,"turkiye",10.9
"607",2018-01-01,"croatia",8.3
"608",2018-01-01,"italy",10.6
"609",2018-01-01,"cyprus",8.4
"610",2018-01-01,"latvia",7.4
"611",2018-01-01,"lithuania",6.2
"612",2018-01-01,"luxembourg",5.6
"613",2018-01-01,"hungary",3.6
"614",2018-01-01,"malta",4
"615",2018-01-01,"netherlands",4.9
"616",2018-01-01,"austria",5.2
"617",2018-01-01,"poland",3.9
"618",2018-01-01,"portugal",7.2
"619",2018-01-01,"romania",5.3
"620",2018-01-01,"slovenia",5.1
"621",2018-01-01,"slovakia",6.5
"622",2018-01-01,"finland",7.5
"623",2018-01-01,"sweden",6.5
"624",2018-01-01,"iceland",2.7
"625",2018-01-01,"norway",4
"626",2018-01-01,"switzerland",4.7
"627",2018-01-01,"bosnia_and_herzegovina",NA
"628",2018-01-01,"montenegro",15.2
"629",2018-01-01,"north_macedonia",20.8
"630",2018-01-01,"serbia",13.8
"631",2018-01-01,"turkiye",10.9
"632",2019-01-01,"croatia",6.6
"633",2019-01-01,"italy",9.9
"634",2019-01-01,"cyprus",7.2
"635",2019-01-01,"latvia",6.3
"636",2019-01-01,"lithuania",6.3
"637",2019-01-01,"luxembourg",5.6
"638",2019-01-01,"hungary",3.3
"639",2019-01-01,"malta",4.1
"640",2019-01-01,"netherlands",4.4
"641",2019-01-01,"austria",4.8
"642",2019-01-01,"poland",3.3
"643",2019-01-01,"portugal",6.6
"644",2019-01-01,"romania",4.9
"645",2019-01-01,"slovenia",4.4
"646",2019-01-01,"slovakia",5.7
"647",2019-01-01,"finland",6.8
"648",2019-01-01,"sweden",6.9
"649",2019-01-01,"iceland",3.5
"650",2019-01-01,"norway",3.9
"651",2019-01-01,"switzerland",4.4
"652",2019-01-01,"bosnia_and_herzegovina",NA
"653",2019-01-01,"montenegro",15.2
"654",2019-01-01,"north_macedonia",17.3
"655",2019-01-01,"serbia",11.3
"656",2019-01-01,"turkiye",13.7
"657",2020-01-01,"croatia",7.4
"658",2020-01-01,"italy",9.3
"659",2020-01-01,"cyprus",7.6
"660",2020-01-01,"latvia",8.1
"661",2020-01-01,"lithuania",8.5
"662",2020-01-01,"luxembourg",6.8
"663",2020-01-01,"hungary",4.1
"664",2020-01-01,"malta",4.9
"665",2020-01-01,"netherlands",4.9
"666",2020-01-01,"austria",6
"667",2020-01-01,"poland",3.2
"668",2020-01-01,"portugal",7.1
"669",2020-01-01,"romania",6.1
"670",2020-01-01,"slovenia",5
"671",2020-01-01,"slovakia",6.7
"672",2020-01-01,"finland",7.7
"673",2020-01-01,"sweden",8.5
"674",2020-01-01,"iceland",5.5
"675",2020-01-01,"norway",4.7
"676",2020-01-01,"switzerland",4.8
"677",2020-01-01,"bosnia_and_herzegovina",NA
"678",2020-01-01,"montenegro",17.9
